variable,n_parents,bic_std,bic_mlr,bic_olr,winner
a1,2,-1410.601461113186,-1384.7403827711523,-1391.277483070924,MLR
a2,2,-1248.4943191708874,-1226.831843862419,-1228.3376770932812,MLR
a3,1,-1142.5083085785432,-1142.5083085785432,-1159.88669434583,STD
a4,2,-897.9793147492987,-885.6062886278451,-888.2087564249997,MLR
a5,2,-1674.481046998219,-1650.5937790241683,-1661.173289249056,MLR
a6,2,-1142.322248091951,-1128.7323836456328,-1130.9130954126745,MLR
a7,2,-1520.0659646582637,-1497.0645009567424,-1511.1860130371829,MLR
a8,2,-1598.3897504921363,-1571.189005046232,-1596.091997460138,MLR
a9,1,-875.1771289867754,-875.1771289867756,-892.0142242594768,STD
a10,2,-1434.45910385403,-1413.3086368492357,-1442.3194740309696,MLR
a11,2,-1276.3080976554145,-1256.6160248630413,-1283.8052013942292,MLR
a12,2,-1719.039805156623,-1692.200837196052,-1692.5328141548432,MLR
a13,1,-1583.719733998301,-1583.7197339983009,-1592.7923607959506,MLR
a14,1,-1545.4426054509202,-1545.4426054509206,-1552.8757978788976,STD
a15,1,-1585.6912713734384,-1585.6912713734382,-1606.987605254893,MLR
a16,2,-1605.773282336367,-1582.800759106197,-1609.8848613064802,MLR
a17,2,-1423.1843430067167,-1403.5591165942833,-1414.3919336633544,MLR
a18,1,-1274.2639782093092,-1274.2639782093092,-1293.8989391876198,STD
a19,2,-1544.8159657556507,-1525.3120793465828,-1546.2519770004012,MLR
a20,2,-862.4205121438342,-841.6332260330139,-840.4391118465267,OLR
a21,2,-1524.3107930521765,-1503.857867297958,-1532.3453040894215,MLR
a22,1,-1316.2418951376137,-1316.2418951376137,-1320.2342244987117,STD
a23,2,-1595.4837178854552,-1575.0495106168216,-1608.9995950567895,MLR
a24,1,-1669.4454880376952,-1669.4454880376952,-1681.4109621491252,STD
a25,1,-1638.877704877629,-1638.8777048776292,-1647.1817364193976,STD
a26,2,-1464.6978022450592,-1438.7762123800858,-1457.0759320684404,MLR
a27,2,-1523.004106980457,-1506.5654195693196,-1525.326675291582,MLR
a28,2,-1395.2402858487671,-1369.4464774080752,-1383.343565929128,MLR
a29,1,-1696.7101167016062,-1696.7101167016062,-1697.7251107352965,STD
a30,2,-1665.2915886227313,-1644.2322535820933,-1648.6415541632539,MLR
d1,2,-1659.5591902307099,-1638.4176730260942,-1652.0116693034854,MLR
d2,2,-1762.0486599926646,-1734.925979307062,-1750.8016357258355,MLR
d3,2,-1392.4811952603477,-1365.8714820803298,-1378.9474226516204,MLR
d4,2,-1502.455133531637,-1480.904424350436,-1503.956347861798,MLR
d5,2,-1716.432677971599,-1694.8340503602117,-1705.342059449063,MLR
d6,1,-1616.8639144069173,-1616.863914406917,-1623.0966322632662,MLR
d7,1,-1473.790690508484,-1473.7906905084837,-1471.6380794065292,OLR
d8,2,-1615.1579874703928,-1587.8403207008369,-1582.423493037202,OLR
d9,1,-1332.1212684342613,-1332.1212684342613,-1336.010992375775,STD
d10,1,-1462.7574071890228,-1462.7574071890226,-1456.6798080852527,OLR
d11,0,-1816.2167982410447,-1816.2167982410444,-inf,MLR
d12,1,-1431.3744656508022,-1431.374465650802,-1434.773180735404,MLR
d13,1,-1524.9166516430732,-1524.916651643073,-1552.9451813894993,MLR
d14,1,-1677.1208455275485,-1677.1208455275487,-1692.4486401196018,STD
